               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.02945,            0.013399,            0.063997,             0.32311,             0.51639,             0.36441,             0.25899,            0.020583,           0.0043797,            0.037979,            0.007987,            0.007987,            0.007987
                  63,            0.030028,            0.012835,            0.062402,             0.33894,             0.58154,              0.4332,             0.30089,            0.019265,           0.0040875,            0.038621,            0.007954,            0.007954,            0.007954
                  64,            0.029536,            0.012594,            0.060563,             0.32052,             0.53872,             0.39254,             0.27919,            0.019549,           0.0044463,            0.037873,            0.007921,            0.007921,            0.007921
                  65,            0.029847,            0.012472,            0.061021,             0.36435,             0.40055,             0.42039,             0.30703,            0.018431,           0.0043184,            0.040052,            0.007888,            0.007888,            0.007888
                  66,            0.029863,            0.013524,            0.061672,             0.32813,             0.55467,             0.44771,             0.32113,            0.020849,           0.0041949,            0.037564,            0.007855,            0.007855,            0.007855
                  67,            0.030135,            0.012619,            0.061216,             0.34849,             0.47571,             0.43896,             0.31019,            0.018901,           0.0046741,             0.03909,            0.007822,            0.007822,            0.007822
                  68,             0.02997,            0.012997,            0.061542,             0.38755,             0.46841,             0.45025,             0.34193,            0.016789,           0.0041595,            0.037211,            0.007789,            0.007789,            0.007789
                  69,            0.029345,            0.012304,            0.059112,             0.36249,             0.49141,             0.47205,             0.34332,            0.019411,           0.0041657,            0.036238,            0.007756,            0.007756,            0.007756
                  70,            0.029527,            0.012588,            0.058624,             0.33707,             0.50319,             0.41258,              0.3065,            0.018833,           0.0041204,            0.039905,            0.007723,            0.007723,            0.007723
                  71,            0.029722,            0.012383,             0.06056,             0.34537,             0.56489,             0.47532,              0.3667,            0.017905,           0.0040202,             0.03927,             0.00769,             0.00769,             0.00769
                  72,             0.02913,            0.012587,            0.061197,             0.50184,             0.44417,             0.39742,             0.29893,            0.018037,           0.0041714,            0.038571,            0.007657,            0.007657,            0.007657
                  73,            0.028566,            0.011868,            0.059632,             0.29296,             0.54392,             0.42807,             0.33973,            0.017927,           0.0041657,            0.036785,            0.007624,            0.007624,            0.007624
                  74,            0.029488,            0.011741,            0.060537,             0.30041,              0.5905,             0.44177,             0.32905,            0.017808,           0.0040383,            0.037508,            0.007591,            0.007591,            0.007591
                  75,            0.028785,            0.012314,             0.05819,             0.39377,             0.53818,             0.47353,             0.33982,            0.017431,           0.0040733,            0.035475,            0.007558,            0.007558,            0.007558
                  76,            0.029161,            0.012656,             0.05986,             0.39968,             0.47792,             0.49232,             0.35469,            0.018622,           0.0041518,             0.03538,            0.007525,            0.007525,            0.007525
                  77,            0.029277,             0.01201,            0.057015,             0.35316,             0.52756,             0.49716,             0.36079,            0.018289,           0.0041849,            0.033888,            0.007492,            0.007492,            0.007492
                  78,            0.029303,            0.011952,            0.057252,             0.55498,             0.49279,             0.51066,             0.39553,              0.0163,           0.0039601,            0.034051,            0.007459,            0.007459,            0.007459
                  79,            0.027481,            0.012382,            0.058559,             0.33105,             0.57901,               0.466,             0.33932,            0.018213,           0.0043803,            0.034644,            0.007426,            0.007426,            0.007426
                  80,            0.028409,            0.011996,            0.057574,             0.32036,             0.62582,               0.505,             0.35964,             0.01827,           0.0042061,            0.034055,            0.007393,            0.007393,            0.007393
                  81,             0.02713,             0.01173,            0.057321,             0.34664,             0.58475,             0.52224,             0.38674,             0.01582,           0.0037112,            0.034543,             0.00736,             0.00736,             0.00736
                  82,            0.029391,            0.012086,            0.056219,              0.3798,             0.55044,             0.51423,             0.37171,            0.018402,           0.0038062,             0.03327,            0.007327,            0.007327,            0.007327
                  83,            0.028183,            0.012008,             0.05714,             0.36103,             0.54473,             0.45785,             0.34615,            0.018122,           0.0042695,            0.034344,            0.007294,            0.007294,            0.007294
                  84,            0.027179,            0.011582,            0.058773,             0.31416,             0.52266,             0.41905,             0.32578,            0.017954,            0.004226,            0.035863,            0.007261,            0.007261,            0.007261
                  85,            0.028029,            0.011898,            0.057353,             0.36132,             0.62133,             0.55746,             0.40791,            0.017537,           0.0037178,            0.031831,            0.007228,            0.007228,            0.007228
                  86,            0.027526,             0.01153,            0.057887,             0.35083,             0.57781,             0.48828,             0.37914,            0.015651,           0.0038488,            0.032752,            0.007195,            0.007195,            0.007195
                  87,            0.028274,             0.01122,            0.056426,             0.28169,             0.59899,              0.5395,              0.4039,            0.015883,           0.0038023,            0.031987,            0.007162,            0.007162,            0.007162
                  88,            0.028745,            0.011734,            0.056393,             0.39479,             0.60466,             0.56099,             0.41635,            0.018876,           0.0038293,            0.033833,            0.007129,            0.007129,            0.007129
                  89,             0.02868,            0.011554,            0.057067,             0.28177,             0.61927,             0.51718,             0.40822,            0.016652,           0.0038143,            0.034029,            0.007096,            0.007096,            0.007096
                  90,             0.02849,            0.011841,            0.056146,             0.34749,             0.68302,             0.56106,              0.4168,            0.017035,           0.0040029,            0.031058,            0.007063,            0.007063,            0.007063
                  91,             0.02711,            0.011918,            0.054795,             0.38004,             0.58721,             0.53893,             0.42472,            0.017448,           0.0039303,            0.033589,             0.00703,             0.00703,             0.00703
                  92,            0.028422,            0.011448,            0.054055,             0.39396,             0.67418,             0.57665,             0.43455,             0.01682,           0.0037755,             0.03112,            0.006997,            0.006997,            0.006997
                  93,            0.028704,            0.011587,            0.055011,              0.5636,             0.53147,             0.56347,             0.42332,            0.017118,           0.0038937,            0.031124,            0.006964,            0.006964,            0.006964
                  94,            0.028065,            0.011841,             0.05336,             0.46725,             0.61779,              0.5745,             0.43724,            0.016752,           0.0038565,             0.03076,            0.006931,            0.006931,            0.006931
                  95,             0.02727,            0.012185,            0.053876,             0.35694,             0.64239,             0.59521,             0.46206,            0.016132,           0.0037885,            0.030981,            0.006898,            0.006898,            0.006898
                  96,            0.027354,            0.011841,            0.053434,             0.35556,             0.68666,             0.59411,             0.45002,            0.016981,           0.0036425,            0.029478,            0.006865,            0.006865,            0.006865
                  97,            0.026677,            0.011691,            0.053119,             0.37482,             0.65948,              0.6212,             0.46704,            0.017279,            0.003746,            0.030628,            0.006832,            0.006832,            0.006832
                  98,            0.026863,            0.011688,            0.052333,             0.34199,               0.663,             0.55562,             0.42029,            0.018445,           0.0038793,            0.031899,            0.006799,            0.006799,            0.006799
                  99,            0.027139,            0.010899,             0.05299,             0.33954,             0.70857,             0.61881,             0.46579,            0.016977,           0.0038362,            0.029311,            0.006766,            0.006766,            0.006766
                 100,            0.027345,            0.011937,            0.052111,              0.4619,             0.58073,             0.62452,             0.46928,            0.016728,           0.0037197,            0.028593,            0.006733,            0.006733,            0.006733
                 101,            0.026524,            0.011348,            0.050199,             0.40853,             0.63818,             0.61161,             0.46999,            0.016723,            0.003712,            0.028371,              0.0067,              0.0067,              0.0067
                 102,            0.027658,            0.011661,             0.05108,               0.481,             0.64354,             0.64104,             0.48471,            0.016773,           0.0037821,            0.028048,            0.006667,            0.006667,            0.006667
                 103,             0.02659,            0.011333,            0.051997,              0.4894,              0.6926,             0.64027,             0.48907,            0.017345,           0.0036838,            0.028526,            0.006634,            0.006634,            0.006634
                 104,            0.026526,            0.011332,            0.051592,             0.38953,             0.69701,             0.65172,             0.47901,            0.018143,           0.0035409,            0.027781,            0.006601,            0.006601,            0.006601
                 105,            0.026889,            0.011367,            0.053357,             0.45303,             0.71625,             0.67448,             0.52855,            0.016301,           0.0034886,            0.027684,            0.006568,            0.006568,            0.006568
                 106,            0.028052,            0.011755,             0.05318,             0.43279,             0.68217,             0.62573,             0.48389,            0.016736,           0.0034525,             0.02724,            0.006535,            0.006535,            0.006535
                 107,            0.026874,            0.011445,            0.049616,             0.37841,             0.65301,              0.6409,             0.49994,            0.016586,           0.0034809,            0.027793,            0.006502,            0.006502,            0.006502
                 108,            0.026458,            0.011338,            0.048389,             0.38656,             0.71263,             0.64137,             0.50188,             0.01547,            0.003494,            0.026589,            0.006469,            0.006469,            0.006469
                 109,            0.027645,            0.011641,            0.050197,             0.39601,             0.72505,             0.62457,             0.47579,            0.016677,           0.0035799,            0.027982,            0.006436,            0.006436,            0.006436
                 110,            0.027058,            0.011569,            0.050529,             0.60208,              0.5685,             0.67198,             0.52851,            0.015922,           0.0035992,            0.026991,            0.006403,            0.006403,            0.006403
                 111,            0.026761,            0.011246,            0.050323,             0.42038,             0.72413,             0.67123,             0.50974,            0.016703,            0.003581,            0.026044,             0.00637,             0.00637,             0.00637
                 112,             0.02634,            0.010894,            0.049056,              0.4846,             0.67212,              0.6796,             0.51902,            0.015439,           0.0037522,            0.026353,            0.006337,            0.006337,            0.006337
                 113,            0.026432,            0.011005,            0.049033,             0.45741,             0.63808,             0.64988,             0.49943,            0.016713,           0.0037389,            0.030255,            0.006304,            0.006304,            0.006304
                 114,            0.027743,            0.011432,            0.049947,             0.44691,             0.63152,             0.64242,             0.50347,            0.017121,            0.003834,            0.031194,            0.006271,            0.006271,            0.006271
                 115,            0.026535,            0.011576,            0.050273,             0.51012,             0.63654,             0.68442,             0.53472,            0.018057,           0.0036187,            0.028211,            0.006238,            0.006238,            0.006238
                 116,            0.027694,            0.011253,            0.050725,             0.46557,             0.65658,             0.65581,             0.49198,            0.018493,           0.0037492,            0.026326,            0.006205,            0.006205,            0.006205
                 117,             0.02514,            0.011047,            0.048849,             0.48114,             0.64657,             0.68358,             0.53893,            0.016234,           0.0035394,            0.027031,            0.006172,            0.006172,            0.006172
                 118,            0.025461,            0.010914,            0.048127,             0.62161,             0.60274,             0.69189,             0.54069,            0.016459,           0.0035066,            0.026393,            0.006139,            0.006139,            0.006139
                 119,            0.026643,            0.010955,            0.049974,             0.52139,             0.64533,             0.68346,             0.52191,            0.016893,            0.003759,            0.028657,            0.006106,            0.006106,            0.006106
                 120,            0.027408,            0.011401,            0.047212,             0.64789,             0.59231,             0.70609,             0.54044,             0.01834,           0.0037489,            0.026204,            0.006073,            0.006073,            0.006073
                 121,            0.028002,            0.011007,            0.048326,             0.67361,             0.59677,             0.72992,             0.55242,            0.017062,           0.0035167,            0.025083,             0.00604,             0.00604,             0.00604
                 122,            0.026424,            0.010713,            0.046555,             0.50616,             0.64717,             0.71504,             0.54656,            0.017968,           0.0037111,            0.025591,            0.006007,            0.006007,            0.006007
